label,Message,clean_Message
1,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),babe want dont babi im nasti thing filthyguy fanci rude time sexi bitch go slo n hard text xxx slomsg
1,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,urgent guarante award still unclaim call closingd claimcod mm pmmorefrommobilebremovedmobypoboxlsyf
0,That means get the door,mean get door
1,"NASABAH Yth, Anda Di Minta Menghub BRI Prihal Tabugan Anda dapat Cek Rp.27jt dri BRI dgn KODE CEK: 02599875 INFO Klik: www.callcenterbankbri.blogspot.co.id",nasabah hormat menghub bri prihal tabugan cek rpjt bri kode cek informasi klik
0,Hey i will be late... i'm at amk. Need to drink tea or coffee,hey late im amk need drink tea coffe
1,"INDOVISON PROMO: hanya 299 rbu, nikmati 2 bln berlangganan, GRATIS biaya pasang+bonus cinema 3 (3bln). hub : 087738718255, 08555796717 PIN BB 32F1C805",indovison promo rbu nikmat langgan gratis biaya pasangbonus cema hubung pin bb fc
0,Buat yg mahasiswa baru,mahasiswa
1,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,uniqu user id remov send stop custom servic
0,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... ",den weekday got special price haiz cant eat liao cut nail oso muz wait finish drivin wat lunch still muz eat wat
0,Give me a sec to think think about it,give sec think think
1,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",sunshin hol claim med holiday send stamp self address envelop drink us uk po box bray wicklow eir quiz start saturday unsub stop
1,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,p per min call germani bt line p per min check planettalkinstantcom info ts cs text stop opt
1,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",congratul thank good friend xma prize claim easi call p per minut btnationalr
0,K.. k.. Saya juga baik-baik saja :)Kapan Anda akan menyelesaikan kursus?,k k baikbaik selesai kursus
0,K I'll be sure to get up before noon and see what's what,okay ill sure get noon see what
1,saldo kas Anda saat ini 500 pound - untuk memaksimalkan cash-in Anda sekarang kirim COLLECT ke 83600 hanya 150p / msg. CC: 08718720201 PO BOX 114/14 TCR / W1,saldo kas pound maksimal cashin kirim collect p cc po box tcr
1,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,today voda number end select receiv award match pleas call quot claim code standard rate app
1,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",urgent pleas call landlin complimentari lux costa del sol holiday cash await collect ppm sae tc jame ehrr
0,"ooh iya klo controler, ku kira td modelnya.",ooh iya controler ku model
1,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,p alfi moon children need song mob tell ms text tone chariti nokia poli chariti poli zed profit chariti
0,Okeyyy malem aja ya bahas apa ajanya yg dibawa,okeyyy malam ya bahas aja bawa
1,Warner Village 83118 C Colin Farrell di SWAT wkend ini @Warner Village & dapatkan 1 obat gratis. Cukup tampilkan msg + ticket@kiosk. Berlaku 4-7/12. C t&c @kiosk. membalas Penawaran film SONY 4 mre,warner village c colin farrell swat wkend warner village dapat obat gratis tampil ticketkiosk laku c tc kiosk balas tawar film sony mre
1,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk,freerington repli real poli eg real pushbutton dontcha babygoodby golddigg webeburnin st tone free join wk
0,Anything lar then ü not going home 4 dinner?,anyth lar ü go home dinner
1,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,loan purpos even bad credit tenant welcom call noworriesloanscom
1,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.,wamma get laidwant real doggin locat sent direct mobil join uk largest dog network text dog nownyt eca lp messag
0,U buy newspapers already?,buy newspap alreadi
1,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",hello orang month free access game news sport plu free text photo messag repli ye term appli
0,"Aku akan segera pulang dan aku tidak ingin membicarakan hal ini lagi malam ini, k? Aku sudah cukup menangis hari ini.",pulang bicara malam k menang
0,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,anyway im go shop co si done yet dun disturb liao
1,Nasabah BRI yth. Anda dapat cek. 27.juta dari undian BRI Kode triplle cek anda (02599875) info hadiah klik www.bripusat2016.blogspot.com,nasabah bri hormat cek juta undi bri kode triplle cek informasi hadiah klik
1,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,bought one rington get text cost pound offer tone etc
0,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,mind blastin tsunami occur rajnik stop swim indian oceand
1,PT. GARSINDO Cari agen jual pulsa M-kios All Operator transaksi 24 jam dgn harga ; V5 = 4500 V10=8500 V20= 18000 U/Gabung kirim ke :085318655616,pt garsindo cari agen jual pulsa mkios all operator transaksi jam harga v v v ugabung kirim
1,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,sm auction brand new nokia auction today auction free join take part text nokia
1,Transfer saja uangnya ke rek ini.mandiri.NO Rek: 152-00-1236312-9.a/n:DARMAN. klau sdah di Transfer SMS saja ke nmor ini Trima kasih,transfer uang rek inimandirino rek andarman klau transfer sms nomor trima kasih
0,Ok. Me watching tv too.,ok watch tv
0,I can't make it tonight,cant make tonight
0,HAL R BAIK THANX MENDAPAT UJIAN PADA BULAN MARET IVE TIDAK MELAKUKAN REVISI? APAKAH FRAN MASIH BERSAMA BOYF? SAYA HARUS INTERVIW 4 EXETER SEDIKIT KHAWATIR!x,r terimakasih uji maret ive revisi fran boyf interviw exeter khawatirx
1,"Retas obrolan. Dapatkan pintu belakang masuk ke 121 ruang obrolan dengan biaya yang lebih murah. Balas NEO69 atau hubungi 09050280520, untuk berlangganan 25p pm. DPS, Bcm kotak 8027 Ldn, wc1n3xx",retas obrol dapat pintu masuk ruang obrol biaya murah balas neo hubung langgan p pm dps bcm kotak ldn wcnxx
1,"tddnewsletter@emc1.co.uk (Lebih banyak game dari TheDailyDraw) Dear Helen, Puluhan Game Gratis - dengan hadiah besarDengan..",tddnewsletteremccouk game thedailydraw dear helen puluh game gratis hadiah besardengan
1,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",thank rington order refer number xyour mobil charg tone arriv pleas call custom servic
1,"Saya ingin memberi tahu Anda fantasi tergelap saya yang terdalam. Hubungi saya 09094646631 hanya 60p / menit. Untuk menghentikan SMS, panggil 08712460324 (nat rate)",fantasi gelap dalam hubung p menit henti sms panggil nat rate
1,"PT.INDOFOOD.tbk menyampaikan bahwa anda telah resmi menangkan uang Rp.49jt dari pop mie No.PIN XY7QD77, Info lengkap Klik www.undianindofood-tbk.jimdo.com",ptindofoodtbk resmi menang uang rpjt pop mie nopin xyqd informasi lengkap klik
0,"Ups, aku akan memberitahumu saat teman sekamarku selesai",ups memberitahumu teman kamar selesai
0,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",jane babe goin wrk feel ill lst night fone alreadi cover chuck
1,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,urgent nd attempt contact prize yesterday still await collect claim call aclpm
0,Ketika Ã 1/4 login dat waktu ... Ayah menjemput Ã 1/4 pulang sekarang?,login dat ayah jemput pulang
0,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,miss much im despar record messag left day listen hear sound voic love
1,"Anda dijamin Nokia Phone terbaru, 40GB iPod MP3 player atau hadiah Â £ 500! Kata txt: KUMPULKAN ke No: 83355! IBHltd LdnW15H 150p / mtmsgrcvd18",jamin nokia phone baru gb ipod mp player hadiah txt kumpul nomor ibhltd ldnwh p mtmsgrcvd
0,Dont show yourself. How far. Put new pictures up on facebook.,dont show far put new pictur facebook
0,Jangan gimme anak gua bibir itu,gimme anak bibir
1,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",loan purpos homeown tenant welcom previous refus still help call free text back help
1,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",subscrib textcomp wkli comp st wk free question follow subsequ wk chargedpmsg unsubscrib text stop custcar
1,RESMI TRI CARE Pin pemenang Anda_8JF2177 Medptkan 1/Unit TOYOTA YARIS U/Info Lanjut klik: www.gebyar3care.jimdo.com CS:021-80001234/089643122237,resmi tri care pin menang anda jf medptkan unit toyota yaris uinfo klik cs
1,1st wk GRATIS! Gr8 nada str8 2 u masing-masing wk. Txt NOKIA ON ke 8007 untuk nada Nokia Klasik atau HIT ON ke 8007 untuk Polys. Nokia/150p Poli/200p 16+,st wk gratis gr nada str masingmasing wk txt nokia on nada nokia klasik hit on polys nokiap polip
1,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",hello orang month free access game news sport plu free text photo messag repli ye term appli
1,Konten Dewasa 18 Video Anda akan segera bersama Anda,konten dewasa video
0,Welp apparently he retired,welp appar retir
1,Apakah Anda ingin telepon Video baru? 600 kapan saja setiap menit jaringan 400 Inklusif Panggilan video DAN unduhan 5 per minggu Gratis delTOMORROW menelepon 08002888812 atau membalas SEKARANG,telepon video menit jaring inklusif panggil video unduh minggu gratis deltomorrow telepon balas
1,"Gratis msg. Maaf, layanan yang Anda pesan dari 81303 tidak dapat dikirimkan karena Anda tidak memiliki kredit yang cukup. Silakan isi ulang untuk menerima layanan.",gratis maaf layan pesan kirim milik kredit sila isi ulang terima layan
1,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,wont believ true incred txt repli g learn truli amaz thing blow mind ofwd ptxt
1,Yank Tolong isi'in pulsa di no ini.085325556742 ini no baruq.skrng penting,yank tolong isiin pulsa nomor nomor baruqskrng
1,"Anda adalah pemenang, Anda telah dipilih secara khusus untuk menerima uang tunai Â £ 1000 atau penghargaan Â £ 2000. Hubungi operator live untuk klaim telepon 087123002209am-7pm. Biaya 10p",menang pilih khusus terima uang tunai harga hubung operator live klaim telepon ampm biaya p
0,Kumpul dulu aja di lab basdat biar bareng2,kumpul lab basdat biar bareng
0,"Ada yg tdk bisa jam tertentu? Kemungkinan pagi jam 8, tapi nanti diumumkan.",jam pagi jam umum
0,"Kue kopi, kurasa ...",kue kopi rasa
1,"Selamat - Terima kasih kepada teman baik Anda telah MENANG hadiah Natal £ 2.000. 2 klaim mudah, cukup hubungi 08712103738 SEKARANG! Hanya 10p per menit. BT-nasional-tarif",selamat terima kasih teman menang hadiah natal klaim mudah hubung p menit btnasionaltarif
1,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",free rington wait collect simpli text password mix verifi get usher britney fml po box mk h ppw
1,"Layanan kencan kami telah diminta 2 hubungi U oleh seseorang yang pemalu! HUBUNGI 09058091870 SEKARANG semua akan terungkap. POBox84, M26 3UZ 150p",layan kencan hubung malu hubung ungkap pobox m uz p
0,Uhhhhrmm isnt having tb test bad when youre sick,uhhhhrmm isnt tb test bad your sick
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,that cool gentleman treat digniti respect
1,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",urgent import inform user today lucki day find log onto fantast surpris await
1,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,bought one rington get text cost pound offer tone etc
1,"Artha Cell diskon Brg elektronik BB Dakota 3 juta BB Onyx3 2,8 jt Camera DLL HUB Sms ke : 085335875777 Pin BB 28BDDF4D www.arthajaya-cell.blogspot.com",artha cell diskon barang elektronik bb dakota juta bb onyx jt camera lain hubung sms pin bb bddfd
0,Ok. No wahala. Just remember that a friend in need ...,ok wahala rememb friend need
0,"Jadi periksa kesalahan Anda dan jika Anda mengalami kesulitan, lakukan koreksi.",periksa salah alami sulit laku koreksi
0,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,guess pub im im happi pig clover whatev say
1,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",free entri grprize wkli comp chanc win latest nokia psp cash everi wktxt great http
0,"8 Paling lambat, G masih ada jika Anda dapat mengumpulkan amunisi dan ingin mencoba AK baru",lambat kumpul amunisi coba
0,"The table's occupied, I'm waiting by the tree",tabl occupi im wait tree
0,"K will do, addie &amp; I are doing some art so I'll be here when you get home",okay addi amp art ill get home
1,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,xma iscom award either cd gift voucher free entri weekli draw text music tnc
1,"Maaf saya Bu Nur, tanah yang di tanjung api-api saya sudah lihat dan sudah cocok, untuk masalah harga tolong hubungi suami saya aja, pak H.SULAIMAN di no hp. 08xxxxxx, karena kebetulan saya ada acara.Tks",maaf bu nur tanah tanjung apiapi lihat cocok harga tolong hubung suami hsulaiman nomor hp xxxxxx acaratks
0,Untuk kebahagiaan keluarga saya..,bahagia keluarga
1,18 hari untuk Euro2004 kickoff! Anda akan terus mendapat informasi tentang semua berita dan hasil terbaru setiap hari. Berhenti berlangganan kirim GET EURO STOP ke 83222.,euro kickoff informasi berita hasil baru henti langgan kirim get euro stop
0,Jangan gimme anak gua bibir itu,gimme anak bibir
1,"GRATIS PULSA hingga 250rb selama 7Hari 7Malam CUMA dg isi ulang mulai 10rb. Daftar SEGERA, ketik: GRATIS krm ke123(Reg ckp 1kali)Info: ketik INFO krm ke 123",gratis pulsa rb malam isi ulang rb daftar ketik gratis kirim kereg ckp kaliinfo ketik informasi kirim
1,"<Diteruskan dari 88877>GRATIS masuk ke comp mingguan Â £ 250 kami, cukup kirim kata ENTER ke 88877 SEKARANG. 18 T & C www.textcomp.com",terus gratis masuk comp minggu kirim enter t c
0,I just saw ron burgundy captaining a party boat so yeah,saw ron burgundi captain parti boat yeah
1,"Berikut adalah kode diskon Anda RP176781. Untuk menghentikan balasan pesan lebih lanjut, hentikan. www.regalportfolio.co.uk. Layanan Pelanggan 08717205546",kode diskon rupiah henti balas pesan henti layan langgan
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,im still look car buy gone drive test yet
0,"nama1, minta database kamu sama view dan controller yang ada js buat dropdown kotanya.",nama database view controller js dropdown kota
1,Semoga sukses! Pengundian berlangsung 28 Februari 06. Semoga sukses! Untuk penghapusan kirim STOP ke 87239 layanan pelanggan 08708034412,moga sukses undi februari moga sukses hapus kirim stop layan langgan
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuffmoro includ time sheet sorri
0,Alright took the morphine. Back in yo.,alright took morphin back yo
1,"Anda berlangganan 2 TEXTCOMP 250 wkly comp. 1st wk?s pertanyaan gratis berikut, berikutnya wks charged@150p/msg.2 berhenti berlangganan txt STOP 2 84128, custcare 08712405020",langgan textcomp wkly comp st wks gratis wks chargedpmsg henti langgan txt stop custcare
1,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,uk break accommodationvouch term condit appli claim mustprovid claim number
1,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk,freerington repli real poli eg real pushbutton dontcha babygoodby golddigg webeburnin st tone free join wk
0,K. Saya akan mengirimkannya lagi,k kirim
0,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",make squeez ltgt buck dad
1,"langganan TONEXS Anda telah diperpanjang dan Anda telah dikenakan biaya Â£4,50. Anda dapat memilih 10 poli lagi bulan ini. www.clubzed.co.uk *BILLING MSG*",langgan tonexs panjang kena biaya pilih pol billing
0,"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj",hey doc pleas want get nice shirt hubbi nice fite one budget ltgt okay help pleas load card abi hwkeep post love mj
0,Yun membeli ... Tapi sekolah mendapat tawaran 2000 plus hanya...,yun beli sekolah tawar plus
0,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng...",short cute good person dont tri prove good mrng
0,"Apa yang Anda lakukan, anjing saya? Haruskah saya selalu menunggu sampai akhir hari Anda untuk mendapat kabar dari Anda? Apakah Anda sudah kehabisan waktu di sel Anda?",laku anjing harus tunggu kabar habis sel
0,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",thing chang sentenc want concentr educ career im leav
1,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,marri local women look discreet action real match instantli phone text match messag cost p stop text stop bcmsfwcnxx
0,K.. k.. Ada yang spesial hari ini?,k k spesial
0,Mmm itu lebih baik sekarang saya mendapat panggang ke bawah saya! iÂ 'd b lebih baik jika saya memiliki beberapa minuman turun saya 2! India yang baik?,mmm panggang i d bb milik minum turun india
1,Masuk GRATIS ke comp mingguan Â £ 250 kami hanya mengirim kata WIN ke 80086 SEKARANG. 18 T & C www.txttowin.co.uk,masuk gratis comp minggu kirim menang t c
1,"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!",free messag get gnarl barkley crazi rington total free repli go messag right
1,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,dear xxxxxxx uve invit xchat final attempt contact text chat pmsgrcvdhgsuitelandsrowwjhl ldn yr
0,Saya mengambil cuti setengah hari karena saya tidak sehat,ambil cuti sehat
1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",new mobil must go text nokia collect todayfrom optout gbpmtmsg
0,Hey what are you doing. Y no reply pa..,hey repli pa
1,"Dapatkan nada 3 Lions England, balas lionm 4 mono atau lionp 4 poly. 4 lagi pergi 2 www.ringtones.co.uk, yang asli n terbaik. Tarif operator jaringan Tones 3GBP berlaku.",dapat nada lions england balas lionm mono lionp poly pergi asli n baik tarif operator jaring tones gbp laku
0,Ada semua di panduan pla..dishare di grup ini dan fb,pandu pladishare grup fb
1,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",hot live fantasi call p per min ntt ltd po box croydon cr wb nation rate call
1,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,sexi sexi cum text im wet warm readi porn fun messag free recd msg p inc vat cancel text stop
1,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,congratul award cd voucher gift guarante free entri wkli draw text music
0,Did he just say somebody is named tampa,say somebodi name tampa
1,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,special select receiv pound award call line close cost ppm tc appli ag promo
1,Seseorang yang Anda kenal telah meminta layanan kencan kami 2 menghubungi Anda! Tidak bisa menebak siapa? HUBUNGI 09058091854 SEKARANG semua akan terungkap. PO BOX385 M6 6WU,kenal layan kencan hubung tebak hubung ungkap po box m wu
0,Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.,done internet connect v slow cant send tri later first thing tomo
1,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",gr poli tone mob direct rpli poli titl eg poli breath titl crazyin sleepingwith finest ymca getzedcouk poboxowwq p
1,U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,subscrib best mobil content servic uk per day send stop helplin
0,Hey you told your name to gautham ah?,hey told name gautham ah
1,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",chanc win wkli shop spree text shop tsc custcar xpwk
1,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,great news call freefon claim guarante cash gift speak live oper
1,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",spjanuari male sale hot gay chat cheaper call nation rate pmin cheap pmin peak stop text call pmin
1,Hubungi FREEPHONE 0800 542 0578 sekarang!,hubung freephone
0,Headin menuju busetop,headin busetop
0,"That's good, because I need drugs",that good need drug
0,Apakah Anda bersedia mengikuti kelas bakat.,sedia ikut kelas bakat
1,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,freemsgfeelin kinda lnli hope like keep compani jst got cam mobi wanna c pictxt repli date msgp rcv hlp stop
0,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night",moon come color dream star make music sm give warm peac sleep good night
0,Oh semua harus datang ah?,oh ah
0,How much u trying to get?,much tri get
0,Ketika Ã 1/4 login dat waktu ... Ayah menjemput Ã 1/4 pulang sekarang?,login dat ayah jemput pulang
0,She's fine. Sends her greetings,she fine send greet
1,Win a £1000 cash prize or a prize worth £5000,win cash prize prize worth
1,pesan resmi DARI PT.PLANET 3CARD anda mendapatkan hadiah CEK TUNAI Senilai Rp.100jt jatuh ke pemenang (3) kode PIN:bg58757 silahkan CEK di: www.planet-3care2016.blogspot.com.,pesan resmi ptplanet card hadiah cek tunai nila rpjt jatuh menang kode pinbg silah cek
